,testco_brand,tesco_price,tesco_category,tesco_name,tesco_description,tesco_currency,GTIN,tesco_condition,tesco_sku
54,L'OREAL,10.5,Skincare,L’Oreal Men Expert Hydrating Energetic Eye Roll On 10ml,L’Oreal Men Expert Hydrating Energetic Eye Roll On 10ml,GBP,03600521667279,10.5,266124878
55,L'OREAL,2.15,Travel Toiletries,L'oreal Elvive Dream Lengths Conditioner 90ml,L'Or/P Elvive Dream Lengths Conditioner 90ml ,GBP,03600523965946,2.15,310166479
56,DERMO EXPERTISE,2.5,Face Wipes,L'oreal Fine Flowers Cleansing Wipes Dry Sensitive 25S,L'oreal Fine Flowers Cleansing Wipes Dry Sensitive 25S,GBP,03600523457991,2.5,295316930
57,L'OREAL,15.0,Face Cream & Moisturiser,L'oreal Paris Age Perfect Rehydrating Day Cream 50Ml,"L'oreal Paris Age Perfect Rehydrating Day Cream 50Ml. Anti-sagging, anti-age spots. Enriched with Soya peptides + melanin-block. For mature skin",GBP,05011408054392,15.0,251287304
58,L'OREAL,12.0,Permanent Hair Dye,L’Oreal Preference 5.3 Virginia Chestnut Brown Permanent Hair Dye,L’Oreal Preference 5.3 Virginia Chestnut Brown Permanent Hair Dye,GBP,05011408000177,12.0,255317016
59,EXCELLENCE,10.0,Blonde Hair Dye,L'Oreal Paris Excellence Core 8.1 Natural Ash Blonde Permanent Hair Dye,L'Oreal Paris Excellence Core 8.1 Natural Ash Blonde Permanent Hair Dye,GBP,05011408064889,10.0,251041486
60,L'OREAL MEN,2.25,Shower,L'oreal Men Expert Magnesium Shower Gel 400Ml,L'OREAL MEN XPRT MAGNESIUM SHOWER GEL 400ML ,GBP,03600524030162,2.25,311448571
61,L'OREAL,2.35,Roll On Deodorant,L’Oreal Men Expert Invincible Sport Rollon Deodorant 50Ml,L’Oreal Men Expert Invincible Sport Rollon Deodorant 50Ml,GBP,03600523438051,2.35,295581113
62,L'OREAL,10.0,Brown Hair Dye,L'Oreal Paris Magic Retouch 10 Golden Brown 75ml,L'Oreal Paris Magic Retouch 10 Golden Brown 75ml,GBP,03600523388240,10.0,314427355
63,L'OREAL,10.0,Semi Permanent Hair Dye,L'Oreal Paris Casting Creme Gloss 550 Mahogany Semi-Permanent Hair Dye,"L'Oreal Paris Casting Creme Gloss 550 Mahogany Semi-Permanent Hair Dye. Transform your hair with a glossy shine in the mahogany finish. Lasts up to 28 shampoos with patented conditioning complex with no ammonia. For all types of hair: Suitable for use on natural, coloured or highlighted",GBP,03600520987781,10.0,260994064
64,L'OREAL,12.5,Face Cream & Moisturiser,L'oreal Revitalift Fill Night Cream 50Ml,L'Oreal Revitali . Containing a high concentration of Hyaluronic Acid. Enriched with Fibroxyl plant extract. reduce wrinkles and re plump the skin,GBP,03600523201303,12.5,302370773
65,L'OREAL,10.0,Semi Permanent Hair Dye,L'Oreal Paris Casting Creme Gloss 323 Dark Chocolate Brown Semi-Permanent Hair Dye,"L'Oreal Paris Casting Creme Gloss 323 Dark Chocolate Brown Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",GBP,03600521366035,10.0,264643366
66,L'OREAL,11.0,Permanent Hair Dye,L'Oreal Paris Excellence Universal Nudes 8U Light Blonde Permanent Hair Dye,L'OREAL PARIS EXCEL UNIVERSAL NUDES LIGHT BLD ,GBP,03600523999507,11.0,311271519
67,L'OREAL,12.5,Face Cream & Moisturiser,L'oreal Revita Hyaluronic Acid Day Cream 50Ml,L'Oreal Revitali ,GBP,03600522892335,12.5,302353333
68,L'OREAL,11.0,Brown Hair Dye,L'Oreal Paris Casting Natural Gloss 423 Chestnut Brown Semi-Permanent Hair Dye,L'Oreal Paris Casting Natural Gloss 423 Chestnut Brown Semi-Permanent Hair Dye,GBP,03600524053796,11.0,314326889
